user_id;city;state;country;age
8;timmins;ontario;canada;44
9;germantown;tennessee;usa;38
12;fort bragg;california;usa;26
14;mediapolis;iowa;usa;34
16;albuquerque;new mexico;usa;53
17;chesapeake;virginia;usa;45
19;weston;other;other;14
22;erfurt;thueringen;germany;26
26;bellevue;washington;usa;49
32;portland;oregon;usa;32
39;cary;north carolina;usa;24
42;appleton;wisconsin;usa;17
44;black mountain;north carolina;usa;51
51;renton;washington;usa;34
53;tacoma;washington;usa;43
56;cheyenne;wyoming;usa;24
64;lyon;rhone;france;32
67;framingham;massachusetts;usa;43
69;vancouver;british columbia;canada;29
70;rochester;new york;usa;44
73;wentzville;missouri;usa;17
75;long beach;california;usa;37
78;oakland;california;usa;18
81;santa cruz;california;usa;22
82;del mar;california;usa;43
83;eugene;oregon;usa;35
85;london;england;united kingdom;41
86;los angeles;california;usa;28
87;richardson;texas;usa;30
88;fayetteville;georgia;usa;11
91;toronto/newmarket;other;other;40
92;castellar del valles;barcelona;spain;20
97;mechanicsburg;pennsylvania;usa;35
99;franktown;colorado;usa;42
102;barcelona;n/a;spain;16
107;lethbridge;alberta;canada;58
109;muncie;indiana;usa;20
110;peoira;illinois;usa;44
114;ligonier;pennsylvania;usa;57
125;lansing;michigan;usa;49
129;bloomington;minnesota;usa;47
133;jacksonville;florida;usa;45
141;darien;new york;usa;29
162;newark;delaware;usa;16
165;olympia;washington;usa;62
169;arlington;virginia;usa;20
176;london;london;united kingdom;34
178;rexford;new york;usa;28
183;porto;porto;portugal;27
185;baton rouge;louisiana;usa;17
190;wezembeek-oppem;brussels;belgium;33
202;ottawa;ontario;canada;28
212;manila;n/a;philippines;21
215;port alberni;british columbia;canada;20
217;spencer;massachusetts;usa;21
224;strafford;missouri;usa;42
226;new york;new york;usa;48
228;ann arbor;michigan;usa;41
230;ny;new york;usa;39
232;mumbai;maharashtra;india;16
242;neuffen;baden-wuerttemberg;germany;37
243;arden hills;minnesota;usa;59
244;college station;texas;usa;44
247;zografou;athens;greece;23
254;minneapolis;minnesota;usa;24
256;boston;massachusetts;usa;16
257;quit;quit;quit;47
272;walla walla;washington;usa;20
273;snohomish;washington;usa;26
278;chicago;illinois;usa;21
280;yakima;washington;usa;37
289;tampa;florida;usa;15
291;ft. collins;colorado;usa;36
300;newport news;virginia;usa;31
302;capitola;california;usa;53
310;barcelona;n/a;spain;26
313;rutherford;new jersey;usa;21
323;seattle;washington;usa;23
326;parkville;missouri;usa;25
332;lake oswego;oregon;usa;59
334;jyväskylä;n/a;finland;27
337;málaga;n/a;spain;17
339;tampere;pirkanmaa;finland;20
345;columbia;tennessee;usa;27
356;leesburg;virginia;usa;46
361;premià de dalt;barcelona;spain;25
362;thunder bay;ontario;canada;63
