user_id;city;state;country;age
2;stockton;california;usa;18
8;timmins;ontario;canada;44
9;germantown;tennessee;usa;38
10;albacete;wisconsin;spain;26
14;mediapolis;iowa;usa;34
16;albuquerque;new mexico;usa;53
17;chesapeake;virginia;usa;45
20;langhorne;pennsylvania;usa;19
22;erfurt;thueringen;germany;26
23;philadelphia;pennsylvania;usa;35
32;portland;oregon;usa;32
36;montreal;quebec;canada;24
39;cary;north carolina;usa;24
44;black mountain;north carolina;usa;51
53;tacoma;washington;usa;43
56;cheyenne;wyoming;usa;24
67;framingham;massachusetts;usa;43
68;montreal;quebec;canada;43
69;vancouver;british columbia;canada;29
75;long beach;california;usa;37
77;vancouver;british columbia;canada;14
79;ottawa;ontario;canada;20
85;london;england;united kingdom;41
87;richardson;texas;usa;30
95;grand island;new york;usa;32
99;franktown;colorado;usa;42
132;silver spring;maryland;usa;38
133;jacksonville;florida;usa;45
135;berkshire;new york;usa;28
139;baltimore;maryland;usa;35
144;cape girardeau;missouri;usa;62
151;darwin;northern territory;australia;33
160;almada;n/a;portugal;20
165;olympia;washington;usa;62
176;london;london;united kingdom;34
178;rexford;new york;usa;28
183;porto;porto;portugal;27
185;baton rouge;louisiana;usa;17
193;mumbai;maharashtra;india;23
199;austin;texas;usa;38
204;turner;oregon;usa;15
207;west bend;wisconsin;usa;59
232;mumbai;maharashtra;india;16
236;s. pasadena;california;usa;48
237;plymouth;minnesota;usa;27
241;auburn;alabama;usa;44
242;neuffen;baden-wuerttemberg;germany;37
243;arden hills;minnesota;usa;59
250;minneapolis;minnesota;usa;25
254;minneapolis;minnesota;usa;24
256;boston;massachusetts;usa;16
272;walla walla;washington;usa;20
300;newport news;virginia;usa;31
306;boston;massachusetts;usa;46
311;ridderkerk;n/a;netherlands;34
327;dallas;texas;usa;25
338;minneapolis;minnesota;usa;47
343;mesa;arizona;usa;56
362;thunder bay;ontario;canada;63
383;carmichael;california;usa;40
384;bucuresti;n/a;romania;23
387;charity;missouri;usa;17
388;nashville;tennessee;usa;35
392;barcelona;catalunya;spain;44
393;brighton;east sussex;united kingdom;24
400;st. louis;missouri;usa;18
406;madrid;madrid;spain;37
408;mountain view;california;usa;17
413;naperville;illinois;usa;17
422;edmonton;alberta;canada;23
424;portland;oregon;usa;29
432;kansas city;missouri;usa;39
433;smock;pennsylvania;usa;48
435;naples;florida;usa;46
439;tiburon;california;usa;21
440;brookfield;wisconsin;usa;16
444;sweet home;oregon;usa;40
446;chevy chase;dc;usa;42
469;corona;california;usa;18
472;livingston;new jersey;usa;30
476;rome;new york;usa;32
483;shelton;washington;usa;72
486;portland;oregon;usa;31
487;houston;texas;usa;20
496;west salem;wisconsin;usa;51
500;san antonio;texas;usa;17
501;richmond;virginia;usa;18
503;el centro;california;usa;40
505;washington;dc;usa;51
507;dumas;arkansas;usa;47
516;seattle;washington;usa;47
538;perryville;missouri;usa;26
547;presque isle;maine;usa;13
559;pulaski;virginia;usa;46
565;franklin;tennessee;usa;48
566;springfield;illinois;usa;35
567;spokane;washington;usa;19
569;lahore;punjab;pakistan;28
595;hollywood;florida;usa;17
602;forest grove;oregon;usa;23
618;providence;rhode island;usa;42
619;long beach;mississippi;usa;53
620;toronto;ontario;canada;45
625;marseille;provence;france;41
626;graz;steiermark;austria;41
638;san diego;california;usa;20
640;scotch village;nova scotia;canada;29
643;grenoble;rhone-alpes;france;23
645;ottawa;ontario;canada;40
651;interlachen;florida;usa;26
657;chattanooga;tennessee;usa;26
698;palo alto;california;usa;31
701;mountain view;california;usa;31
709;roanoke;virginia;usa;14
711;oxford;england;united kingdom;27
712;pratteln;baselland;switzerland;29
714;austin;texas;usa;47
717;spring hill;florida;usa;7
720;washington dc;dc;usa;16
724;jamestown;california;usa;10
728;welsh;louisiana;usa;34
730;albuquerque;new mexico,;n/a;69
735;cortland;new york;usa;29
736;trebur;hessen;germany;34
737;albuquerque;new mexico;usa;32
741;novinger;missouri;usa;16
743;moraga;california;usa;61
746;longmont;colorado;usa;36
758;duesseldorf;n/a;germany;33
767;omaha;nebr,;n/a;43
776;auckland;n/a;new zealand;23
777;portland;other;other;13
790;chilliwack;british columbia;canada;22
791;sunnyvale;california;usa;30
795;edinburg;texas;usa;33
805;sonoma;california;usa;34
809;commack;new york;usa;36
811;zurich;n/a;switzerland;34
819;deer park;new york;usa;44
827;mason city;iowa;usa;40
834;rockville;maryland;usa;17
835;collegno;piemonte;italy;35
843;deer lodge;tennessee;usa;25
850;bremen;bremen;germany;22
853;chesterfield;michigan;usa;24
861;san francisco;california;usa;48
876;hanover;massachusetts;usa;33
878;douglasville;georgia;usa;19
882;berkeley;california;usa;23
885;jacksonville;texas;usa;35
899;bielefeld;nordrhein-westfalen;germany;23
900;scranton;pennsylvania;usa;25
901;worcester;worcestershire;united kingdom;21
913;manchester;lancs;united kingdom;44
914;griesheim;hessen;germany;51
915;humble;texas;usa;50
929;king of prussia;other;other;36
